0xa0 @s@s             NO-BREAK SPACE
0xa1 !\             ¡ INVERTED EXCLAMATION MARK
0xa2 $c             ¢ CENT SIGN
0xa3 $L             £ POUND SIGN
0xa4 $$             ¤ CURRENCY SIGN
0xa5 $Y             ¥ YEN SIGN
0xa6 ||             ¦ BROKEN BAR
0xa7 so             § SECTION SIGN
0xa8 "@s            ¨ DIAERESIS
0xa9 oc             © COPYRIGHT SIGN
0xa9 co             © COPYRIGHT SIGN
0xab <<             « LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac -,             ¬ NOT SIGN
0xad @@shy          ­ SOFT HYPHEN
0xae or             ® REGISTERED SIGN
0xaf -@s            ¯ MACRON
0xb0 oo             ° DEGREE SIGN
0xb1 +-             ± PLUS-MINUS SIGN
0xb2 @s2            ² SUPERSCRIPT TWO
0xb3 @s3            ³ SUPERSCRIPT THREE
0xb4 '@s            ´ ACUTE ACCENT
0xb5 @@micro        µ MICRO SIGN
0xb6 PP             ¶ PILCROW SIGN
0xb7 ..             · MIDDLE DOT
0xb8 ,@s            ¸ CEDILLA
0xb9 @s1            ¹ SUPERSCRIPT ONE
0xbb >>             » RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xbc 1/4            ¼ VULGAR FRACTION ONE QUARTER
0xbd 1/2            ½ VULGAR FRACTION ONE HALF
0xbe 3/4            ¾ VULGAR FRACTION THREE QUARTERS
0xbf ?\             ¿ INVERTED QUESTION MARK
0xc0 `A             À LATIN CAPITAL LETTER A WITH GRAVE
0xc1 'A             Á LATIN CAPITAL LETTER A WITH ACUTE
0xc2 ^A             Â LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xc3 ~A             Ã LATIN CAPITAL LETTER A WITH TILDE
0xc4 "A             Ä LATIN CAPITAL LETTER A WITH DIAERESIS
0xc5 0A             Å LATIN CAPITAL LETTER A WITH RING ABOVE
0xc6 AE             Æ LATIN CAPITAL LETTER AE
0xc7 ,C             Ç LATIN CAPITAL LETTER C WITH CEDILLA
0xc8 `E             È LATIN CAPITAL LETTER E WITH GRAVE
0xc9 'E             É LATIN CAPITAL LETTER E WITH ACUTE
0xca ^E             Ê LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xcb "E             Ë LATIN CAPITAL LETTER E WITH DIAERESIS
0xcc `I             Ì LATIN CAPITAL LETTER I WITH GRAVE
0xcd 'I             Í LATIN CAPITAL LETTER I WITH ACUTE
0xce ^I             Î LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xcf "I             Ï LATIN CAPITAL LETTER I WITH DIAERESIS
0xd0 DD             Ð LATIN CAPITAL LETTER ETH
0xd1 NN             Ñ LATIN CAPITAL LETTER N WITH TILDE
0xd1 ~N             Ñ LATIN CAPITAL LETTER N WITH TILDE
0xd2 `O             Ò LATIN CAPITAL LETTER O WITH GRAVE
0xd3 'O             Ó LATIN CAPITAL LETTER O WITH ACUTE
0xd4 ^O             Ô LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xd5 ~O             Õ LATIN CAPITAL LETTER O WITH TILDE
0xd6 "O             Ö LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7 xx             × MULTIPLICATION SIGN
0xd8 O/             Ø LATIN CAPITAL LETTER O WITH STROKE
0xd9 `U             Ù LATIN CAPITAL LETTER U WITH GRAVE
0xda 'U             Ú LATIN CAPITAL LETTER U WITH ACUTE
0xdb ^U             Û LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xdc "U             Ü LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd 'Y             Ý LATIN CAPITAL LETTER Y WITH ACUTE
0xde TT             Þ LATIN CAPITAL LETTER THORN
0xdf ss             ß LATIN SMALL LETTER SHARP S
0xe0 `a             à LATIN SMALL LETTER A WITH GRAVE
0xe1 'a             á LATIN SMALL LETTER A WITH ACUTE
0xe2 ^a             â LATIN SMALL LETTER A WITH CIRCUMFLEX
0xe3 ~a             ã LATIN SMALL LETTER A WITH TILDE
0xe4 "a             ä LATIN SMALL LETTER A WITH DIAERESIS
0xe5 0a             å LATIN SMALL LETTER A WITH RING ABOVE
0xe6 ae             æ LATIN SMALL LETTER AE
0xe7 ,c             ç LATIN SMALL LETTER C WITH CEDILLA
0xe8 `e             è LATIN SMALL LETTER E WITH GRAVE
0xe9 'e             é LATIN SMALL LETTER E WITH ACUTE
0xea ^e             ê LATIN SMALL LETTER E WITH CIRCUMFLEX
0xeb "e             ë LATIN SMALL LETTER E WITH DIAERESIS
0xec `i             ì LATIN SMALL LETTER I WITH GRAVE
0xed 'i             í LATIN SMALL LETTER I WITH ACUTE
0xee ^i             î LATIN SMALL LETTER I WITH CIRCUMFLEX
0xef "i             ï LATIN SMALL LETTER I WITH DIAERESIS
0xf0 dd             ð LATIN SMALL LETTER ETH
0xf1 ~n             ñ LATIN SMALL LETTER N WITH TILDE
0xf1 nn             ñ LATIN SMALL LETTER N WITH TILDE
0xf2 `o             ò LATIN SMALL LETTER O WITH GRAVE
0xf3 'o             ó LATIN SMALL LETTER O WITH ACUTE
0xf4 ^o             ô LATIN SMALL LETTER O WITH CIRCUMFLEX
0xf5 ~o             õ LATIN SMALL LETTER O WITH TILDE
0xf6 "o             ö LATIN SMALL LETTER O WITH DIAERESIS
0xf7 -:             ÷ DIVISION SIGN
0xf8 o/             ø LATIN SMALL LETTER O WITH STROKE
0xf9 `u             ù LATIN SMALL LETTER U WITH GRAVE
0xfa 'u             ú LATIN SMALL LETTER U WITH ACUTE
0xfb ^u             û LATIN SMALL LETTER U WITH CIRCUMFLEX
0xfc "u             ü LATIN SMALL LETTER U WITH DIAERESIS
0xfd 'y             ý LATIN SMALL LETTER Y WITH ACUTE
0xfe tt             þ LATIN SMALL LETTER THORN
0xff "y             ÿ LATIN SMALL LETTER Y WITH DIAERESIS
0x100 -A             Ā LATIN CAPITAL LETTER A WITH MACRON
0x101 -a             ā LATIN SMALL LETTER A WITH MACRON
0x102 )A             Ă LATIN CAPITAL LETTER A WITH BREVE
0x103 )a             ă LATIN SMALL LETTER A WITH BREVE
0x104 ,A             Ą LATIN CAPITAL LETTER A WITH OGONEK
0x105 ,a             ą LATIN SMALL LETTER A WITH OGONEK
0x106 'C             Ć LATIN CAPITAL LETTER C WITH ACUTE
0x107 'c             ć LATIN SMALL LETTER C WITH ACUTE
0x108 ^C             Ĉ LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x109 ^c             ĉ LATIN SMALL LETTER C WITH CIRCUMFLEX
0x10a .C             Ċ LATIN CAPITAL LETTER C WITH DOT ABOVE
0x10b .c             ċ LATIN SMALL LETTER C WITH DOT ABOVE
0x10c vC             Č LATIN CAPITAL LETTER C WITH CARON
0x10d vc             č LATIN SMALL LETTER C WITH CARON
0x10e vD             Ď LATIN CAPITAL LETTER D WITH CARON
0x10f vd             ď LATIN SMALL LETTER D WITH CARON
0x110 D-             Đ LATIN CAPITAL LETTER D WITH STROKE
0x111 d-             đ LATIN SMALL LETTER D WITH STROKE
0x112 -E             Ē LATIN CAPITAL LETTER E WITH MACRON
0x113 -e             ē LATIN SMALL LETTER E WITH MACRON
0x114 )E             Ĕ LATIN CAPITAL LETTER E WITH BREVE
0x115 )e             ĕ LATIN SMALL LETTER E WITH BREVE
0x116 .E             Ė LATIN CAPITAL LETTER E WITH DOT ABOVE
0x117 .e             ė LATIN SMALL LETTER E WITH DOT ABOVE
0x118 ,E             Ę LATIN CAPITAL LETTER E WITH OGONEK
0x119 ,e             ę LATIN SMALL LETTER E WITH OGONEK
0x11a vE             Ě LATIN CAPITAL LETTER E WITH CARON
0x11b ve             ě LATIN SMALL LETTER E WITH CARON
0x11c ^G             Ĝ LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x11d ^g             ĝ LATIN SMALL LETTER G WITH CIRCUMFLEX
0x11e )G             Ğ LATIN CAPITAL LETTER G WITH BREVE
0x11f )g             ğ LATIN SMALL LETTER G WITH BREVE
0x120 .G             Ġ LATIN CAPITAL LETTER G WITH DOT ABOVE
0x121 .g             ġ LATIN SMALL LETTER G WITH DOT ABOVE
0x122 ,G             Ģ LATIN CAPITAL LETTER G WITH CEDILLA
0x123 ,g             ģ LATIN SMALL LETTER G WITH CEDILLA
0x124 ^H             Ĥ LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0x125 ^h             ĥ LATIN SMALL LETTER H WITH CIRCUMFLEX
0x126 H-             Ħ LATIN CAPITAL LETTER H WITH STROKE
0x127 h-             ħ LATIN SMALL LETTER H WITH STROKE
0x128 ~I             Ĩ LATIN CAPITAL LETTER I WITH TILDE
0x129 ~i             ĩ LATIN SMALL LETTER I WITH TILDE
0x12a -I             Ī LATIN CAPITAL LETTER I WITH MACRON
0x12b -i             ī LATIN SMALL LETTER I WITH MACRON
0x12c )I             Ĭ LATIN CAPITAL LETTER I WITH BREVE
0x12d )i             ĭ LATIN SMALL LETTER I WITH BREVE
0x12e ,I             Į LATIN CAPITAL LETTER I WITH OGONEK
0x12f ,i             į LATIN SMALL LETTER I WITH OGONEK
0x130 .I             İ LATIN CAPITAL LETTER I WITH DOT ABOVE
0x131 .i             ı LATIN SMALL LETTER DOTLESS I
0x132 I+J            Ĳ LATIN CAPITAL LIGATURE IJ
0x133 i+j            ĳ LATIN SMALL LIGATURE IJ
0x134 ^J             Ĵ LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x135 ^j             ĵ LATIN SMALL LETTER J WITH CIRCUMFLEX
0x136 ,K             Ķ LATIN CAPITAL LETTER K WITH CEDILLA
0x137 ,k             ķ LATIN SMALL LETTER K WITH CEDILLA
0x139 'L             Ĺ LATIN CAPITAL LETTER L WITH ACUTE
0x13a 'l             ĺ LATIN SMALL LETTER L WITH ACUTE
